,index,image url,above text,below text,source markdown file
248,248,https://storage.googleapis.com/docs-media.encord.com/static/img/export-notification-1.png                                                                            ,"**A.** Select the files you want to export labels for by clicking the checkboxes next to the files to be included in your export. Click the **Export** to export the selected data.
                                                                                                                                                                           
                                                                                                                                                                           **B.** Select the format for your exported data; COCO or JSON.
                                                                                                                                                                           
                                                                                                                                                                           **C.** Toggle this switch if you want to include signed URLs in your export.
                                                                                                                                                                           
                                                                                                                                                                           **D.** Select the label status of the annotations you want to be included in the export.
                                                                                                                                                                           
                                                                                                                                                                           **E.** Select the objects you want to include in the export.
                                                                                                                                                                           
                                                                                                                                                                           **F.** Select which classifications to include in the export.
                                                                                                                                                                           
                                                                                                                                                                           <Note>Download files are tagged with a unique id for the Project they are exported from and the time at which the export is made.</Note>
                                                                                                                                                                           
                                                                                                                                                                           After the **Export** button is pressed, progress can be monitored using the notification bell icon in the top-right of the page.
                                                                                                                                                                           
                                                                                                                                                                           Once the process completes a notification appears in the top-right corner of your screen telling you the export is complete. Click **Click to download** to download your labels.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",<Tip>You can also download your labels in the notification menu (accessed using the bell icon in the top left corner of the platform) and clicking the export icon next to the export you want to download.</Tip>                                                                                                                                                                                                                                                                                                                                                                                                                                         ,platform-documentation/Annotate/annotate-export/annotate-how-to-export-labels.mdx
249,249,https://storage.googleapis.com/docs-media.encord.com/static/img/ontologies/ontology_nested_preview-callout.png                                                       ,"Ontologies are hierarchical structures that define the top-level concepts and categories in your data, along with nested attributes for detailed annotations. They consist of _Classes_ at the top level, which can be either _Objects_ or _Classifications_.
                                                                                                                                                                           
                                                                                                                                                                           - **Objects**: Used to label specific locations in a frame, such as a car in a video frame.
                                                                                                                                                                           - **Classifications**: Frame-level labels that do not have a specific location, such as indicating if an image is taken during the day or night.
                                                                                                                                                                           - **Attributes**: These can be nested under objects, classifications, or other attributes to create detailed, hierarchical structures. For example, the object ""horse"" can have an attribute ""color"".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
250,250,https://storage.googleapis.com/docs-media.encord.com/static/img/ontologies/classification_annotation_types.png                                                       ,"Classifications
                                                                                                                                                                           
                                                                                                                                                                           <Info> Classifications are supported for all modalities </Info>
                                                                                                                                                                           
                                                                                                                                                                           Since classifications apply to the entire frame, there is no need for specific colors or shapes. _Classification annotation types_ include:
                                                                                                                                                                           
                                                                                                                                                                           - **Checklist**: Allows multiple values. For example, ""Weather"" could be both cloudy and rainy.
                                                                                                                                                                           - **Radio**: Allows a single value. For example, ""Time of day"" could be ""Day"" or ""Night.""
                                                                                                                                                                           - **Text**: Allows freeform input for each situation.
                                                                                                                                                                           
                                                                                                                                                                           <Note>Radio buttons can nest up to 7 layers deep. Check boxes and text fields do not support nesting.</Note>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
251,251,https://storage.googleapis.com/docs-media.encord.com/static/img/ontologies/click_nested_configure-callout.png                                                        ,"Attributes
                                                                                                                                                                           
                                                                                                                                                                           **_Attributes_** can be nested under objects or any classification with a _Radio_ annotation type. To nest attributes, set the type to _Radio_, then click the **Configure** button next to the value where you want to add a new _attribute_.
                                                                                                                                                                           
                                                                                                                                                                           <Tip>Attributes can be marked as _Required_, _Dynamic_, or _Relation_.</Tip>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
252,252,https://storage.googleapis.com/docs-media.encord.com/static/img/top-level-required.png                                                                               ,"_Required_ Attributes
                                                                                                                                                                           
                                                                                                                                                                           Any object, classification, or attribute can be marked as _Required_. This means annotators must include at least one instance of the required feature in each task before submitting.
                                                                                                                                                                           
                                                                                                                                                                           <Note>If you specify a dynamic attribute as **required**, specify a **no_value** option in the list of options for the dynamic attribute.</Note>
                                                                                                                                                                           
                                                                                                                                                                           <Tip>Ontology objects and classifications marked as _Required_ are always listed alongside the red * symbol.</Tip>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","If annotators try to submit a task without including a _Required_ object or classification, they will see the following warning message.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
253,253,https://storage.googleapis.com/docs-media.encord.com/static/img/required-warning.png                                                                                 ,"If annotators try to submit a task without including a _Required_ object or classification, they will see the following warning message.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","Click **View issue** to open the _Issues drawer_. From there annotators can seamlessly resolve all _Required_ issues before moving onto the next task.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <Tip>All _Required_ objects and classifications appear as items in the issues drawer of the Label Editor. </Tip>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
254,254,https://storage.googleapis.com/docs-media.encord.com/static/img/ontologies/classification_dynamic-callout.png                                                        ,"_Dynamic_ Attributes
                                                                                                                                                                           
                                                                                                                                                                           Top-level attributes on objects can be marked as _Dynamic_. Normally, attributes are static, but marking one as _Dynamic_ allows it to change value during a video. This is useful for indicating temporary attributes of an object. For example, a single instance of a person can be marked as ""moving"" in one part of the video and ""stationary"" in another.                                                                                                                                                                                                                                                                                                                                                                                                                                                   ","<Tip>Refer to our this documentation to learn how to use dynamic attributes in the Label Editor, and apply dynamic attributes to a range of frames in a video.</Tip>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
255,255,https://storage.googleapis.com/docs-media.encord.com/static/img/relation-attribute-2.png                                                                             ,relation_.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"<Note>Objects are linked in the Label Editor during annotation, not during Ontology creation.</Note>
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   **Using _Relation_ attributes in the Label Editor**:
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Once an Ontology with _Relation_ attributes has been set up, instances can be linked in the Label Editor during annotation.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   1. Create both instance labels. In this example a chicken and its wing have been labeled using bounding boxes.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   2. Click the _Edit classifications_ button for the object with the _Relation_ attribute - in this example the chicken wing, as seen below.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
256,256,https://storage.googleapis.com/docs-media.encord.com/static/img/link-attrib-1.png                                                                                    ,"<Note>Objects are linked in the Label Editor during annotation, not during Ontology creation.</Note>
                                                                                                                                                                           
                                                                                                                                                                           **Using _Relation_ attributes in the Label Editor**:
                                                                                                                                                                           
                                                                                                                                                                           Once an Ontology with _Relation_ attributes has been set up, instances can be linked in the Label Editor during annotation.
                                                                                                                                                                           
                                                                                                                                                                           1. Create both instance labels. In this example a chicken and its wing have been labeled using bounding boxes.
                                                                                                                                                                           
                                                                                                                                                                           2. Click the _Edit classifications_ button for the object with the _Relation_ attribute - in this example the chicken wing, as seen below.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ","3. Click the _Set relation..._ bar and select the instance you want to link the selected instance to. In this example the chicken and the wing appear on the same frame, and therefore appear under the _This frame_ heading. Instances in different frames appear under the heading _Rest_.                                                                                                                                                                                                                                                                                                                                                            ",platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
257,257,https://storage.googleapis.com/docs-media.encord.com/static/img/link-attrib-3.png                                                                                    ,"3. Click the _Set relation..._ bar and select the instance you want to link the selected instance to. In this example the chicken and the wing appear on the same frame, and therefore appear under the _This frame_ heading. Instances in different frames appear under the heading _Rest_.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",4. Click **Done**. The instances are now linked. This is shown in the _Instance labels_ section with the name of the linked instance being displayed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
258,258,https://storage.googleapis.com/docs-media.encord.com/static/img/link-attrib-4.png                                                                                    ,4. Click **Done**. The instances are now linked. This is shown in the _Instance labels_ section with the name of the linked instance being displayed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
259,259,https://storage.googleapis.com/docs-media.encord.com/static/img/ontologies/apply-to-new-occurences.png                                                               ,"Apply to new occurrences
                                                                                                                                                                           
                                                                                                                                                                           The _Apply to new occurrences_ checkbox in the Label Editor is available for the first instance of a label with a dynamic attribute. Selecting this option propagates the attribute to all future instance labels, meaning all labels created for this instance share the attribute value of the initial instance label.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",The _Apply to new occurrences_ functionality also holds for instance labels created automatically using interpolation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
260,260,https://storage.googleapis.com/docs-media.encord.com/static/img/transcription-ontology.png                                                                           ,"_Transcript_ Attributes
                                                                                                                                                                           
                                                                                                                                                                           _Transcript_ attributes are text fields specifically designed for transcribing audio files. Apply _Transcript_ attributes to _Audio Region_ objects and input the audio transcription directly into the text field. In the following example an _Audio Region_ object called ""Beautiful Voice"" has the _Transcription_ text attribute ""Lyrics"", which can be used to transcribe song lyrics.
                                                                                                                                                                           
                                                                                                                                                                           <Info>Only Text attributes can be marked _Transcript_</Info>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
261,261,https://storage.googleapis.com/docs-media.encord.com/static/img/ontologies/json-structure-preview.png                                                                ,"JSON Ontology Structure
                                                                                                                                                                           
                                                                                                                                                                           You can preview a JSON of your Ontology structure when you are setting up or editing your Ontology. Preview the JSON by enabling the _Display JSON_ toggle.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/annotate-ontologies/annotate-ontologies.mdx
